1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q3,30631,0,16804,16150,654,7394,813,2070,4511,6433,33263,2379,18761,873,17888,11082,5943,0,5139,1041,14498,14091,407,0,0
1992:Q4,28105,0,16915,15900,1015,8056,1128,2175,4753,3134,33522,2883,19115,886,18229,9100,3745,0,5355,2424,14268,13704,564,0,0
1993:Q1,27233,0,16879,15800,1079,8106,1378,2108,4620,2248,32369,3415,19008,679,18329,9300,3600,0,5700,646,14268,13579,689,0,0
1993:Q2,28425,0,16843,15700,1143,8305,1744,1993,4568,3277,32840,4007,17710,541,17169,9623,3585,0,6038,1500,12976,12104,872,0,0
1993:Q3,28897,0,15909,14800,1109,8551,2052,1967,4532,4437,34556,4571,17260,564,16696,11106,3526,0,7580,1619,12521,11495,1026,0,0
1993:Q4,29960,0,16770,15600,1170,8610,2239,1894,4477,4580,37239,5019,17385,564,16821,12498,3554,0,8944,2337,12521,11402,1119,0,0
1994:Q1,31800,0,15408,14000,1408,10258,2872,2154,5232,6134,43500,6600,16976,425,16551,15600,4200,0,11400,4324,11600,10164,1436,0,0
1994:Q2,31400,0,14045,12400,1645,11907,3810,2262,5835,5448,47500,7900,16090,290,15800,19400,4900,0,14500,4110,10700,8795,1905,0,0
1994:Q3,31600,0,12683,10800,1883,13273,4778,2256,6239,5644,53500,9400,16101,150,15951,23200,5700,0,17500,4799,9800,7411,2389,0,0
1994:Q4,31016,0,11320,9200,2120,13320,5062,2131,6127,6376,55068,9747,15278,13,15265,24759,6033,0,18726,5284,8953,6422,2531,0,0
1995:Q1,31215,0,11052,8900,2152,13767,5782,1927,6058,6396,55831,9940,15294,10,15284,25267,5700,0,19567,5330,8637,5746,2891,0,0
1995:Q2,32193,0,10784,8600,2184,14214,6254,1848,6112,7195,58125,10391,15332,4,15328,26452,4923,0,21529,5950,7901,4774,3127,0,0
1995:Q3,32753,0,10515,8300,2215,14660,6890,1759,6011,7578,59437,10648,15358,5,15353,27130,4479,0,22651,6301,7480,4035,3445,0,0
1995:Q4,33325,0,11887,9000,2887,14111,6915,1552,5644,7327,62176,10926,15498,6,15492,29075,5024,0,24051,6677,7621,4164,3457,0,0
1996:Q1,33898,0,13258,9700,3558,13563,7188,1221,5154,7077,64916,11205,15638,7,15631,31022,5569,0,25453,7051,7763,4169,3219,375,0
1996:Q2,34699,0,14630,10400,4230,13014,7158,1041,4815,7055,68751,11595,15835,8,15827,33747,6332,0,27415,7574,7961,4382,3229,350,0
1996:Q3,35654,1845,16001,11128,4873,12635,7157,1008,4470,5173,73327,12060,16070,10,16060,36998,7242,0,29756,8199,8197,4696,3176,325,0
1996:Q4,38201,2233,16524,12198,4326,13837,8004,1187,4646,5607,79359,13720,16800,9,16791,39665,7757,0,31908,9174,7350,4464,2628,258,0
1997:Q1,41556,2956,17107,12210,4897,15027,8730,1197,5100,6466,88400,15075,18271,8,18263,44485,8428,0,36057,10569,6998,4350,2413,235,0
1997:Q2,47268,2860,19432,13399,6033,17363,10226,1495,5642,7613,100861,17423,20209,5,20204,51091,10981,0,40110,12138,7755,4119,3316,320,0
1997:Q3,54673,3820,21818,15810,6008,19016,11341,1673,6002,10019,114082,20152,26169,29,26140,53449,11668,0,41781,14312,8068,4260,3516,292,0
1997:Q4,64311,3289,27652,21187,6465,22905,13970,2084,6851,10465,139032,24905,31670,33,31637,64437,17621,0,46816,18020,11060,4879,5741,437,3
1998:Q1,78625,4572,31231,23183,8048,25734,15604,2159,7971,17088,164406,29989,39869,70,39799,72014,22923,0,49091,22534,11266,5210,5434,465,157
1998:Q2,83030,4842,29482,21062,8420,29010,18280,2226,8504,19696,182387,28103,47691,29,47662,80295,26241,0,54054,26298,13678,4874,7599,736,469
1998:Q3,80679,3854,25979,18301,7678,29698,18002,2387,9309,21148,201959,24855,50355,206,50149,97444,33485,0,63959,29305,14232,5418,7080,866,868
1998:Q4,70729,4068,19189,13119,6070,26278,14770,2137,9371,21194,205563,15133,53584,207,53377,105216,33611,0,71605,31630,13929,4977,7547,791,614
1999:Q1,71187,3751,20517,14915,5602,25378,13302,2030,10046,21541,214769,16138,59848,212,59636,105362,28726,0,76636,33421,13466,4424,7399,906,737
1999:Q2,69431,3692,20423,14875,5548,24910,12987,1932,9991,20406,208711,16323,58301,210,58091,101973,28402,0,73571,32114,13009,4043,7381,863,722
1999:Q3,68988,4354,19850,14608,5242,24804,13105,1831,9868,19980,213345,15765,59065,186,58879,103178,27265,0,75913,35337,12790,3792,7503,801,694
1999:Q4,68328,4402,20535,11366,9169,23540,11261,2308,9971,19851,215915,14875,61744,0,61744,103026,24201,0,78825,36270,11538,3670,5551,366,1951
2000:Q1,64783,4466,20322,11259,9063,19668,7833,2118,9717,20327,215836,12573,62902,0,62902,104505,23538,0,80967,35856,11771,3806,5932,309,1724
2000:Q2,63249,4164,19693,10376,9317,19155,7457,2085,9613,20237,217741,12261,64283,0,64283,103856,21256,0,82600,37341,11242,3691,5551,305,1695
2000:Q3,62643,3770,19967,11607,8360,18048,7275,1974,8799,20858,216629,12828,65365,0,65365,100680,18682,0,81998,37756,10781,3574,5273,297,1637
2000:Q4,65013,4386,21347,11993,9354,17534,7801,1729,8004,21746,218027,12361,64601,0,64601,102971,19421,0,83550,38094,10048,3472,5370,146,1060
2001:Q1,65085,4144,21538,13100,8438,17418,8038,1721,7659,21985,219412,13589,67455,0,67455,100385,16497,0,83888,37983,8837,2609,5080,140,1008
2001:Q2,67166,4713,23106,15245,7861,16538,7768,1743,7027,22809,221116,15661,65151,0,65151,102442,16226,0,86216,37862,7621,1731,4813,132,945
2001:Q3,70829,5443,25553,17729,7824,17132,8428,1744,6960,22701,221721,18187,67025,0,67025,98915,14960,0,83955,37594,7015,963,5041,124,887
2001:Q4,75878,5492,30066,20288,9778,17935,8587,1444,7904,22385,231069,21552,69243,0,69243,102129,16370,0,85759,38145,6744,329,5455,118,842
2002:Q1,83150,6144,36667,27094,9573,17588,8910,1365,7313,22751,239822,27694,69901,0,69901,103603,15869,0,87734,38624,6493,0,5592,112,789
2002:Q2,92531,6393,42685,31555,11130,19924,10874,1434,7616,23529,255996,32191,74425,0,74425,110307,16814,0,93493,39073,8963,0,7624,117,1222
2002:Q3,100023,6576,46378,33864,12514,23434,14172,1386,7876,23635,268618,36926,79713,0,79713,111648,16751,0,94897,40331,11400,0,10099,113,1188
2002:Q4,100644,5396,42116,31765,10351,28113,18716,1297,8100,25019,275461,36180,83260,0,83260,115101,18141,0,96960,40920,14753,0,13217,109,1427
2003:Q1,100324,6593,42526,27459,15067,26503,17275,1234,7994,24702,274515,33230,86800,0,86800,114786,18988,0,95798,39699,16532,0,15016,107,1409
2003:Q2,109213,6664,43746,29482,14264,33606,24036,1290,8280,25197,283806,38302,91085,0,91085,113946,16304,0,97642,40473,19526,0,18041,105,1380
2003:Q3,119781,8914,43732,26678,17054,40623,30324,1293,9006,26512,294556,38326,97806,0,97806,118088,17142,0,100946,40336,25960,0,24503,103,1354
2003:Q4,135042,9173,47764,28883,18881,48836,37185,1529,10122,29269,314794,41634,107089,0,107089,123606,17751,0,105855,42465,30327,0,28907,100,1320
2004:Q1,160489,10245,62316,37780,24536,55779,42509,1521,11749,32149,342653,51894,117683,0,117683,128904,17448,0,111456,44172,37012,0,34038,99,2875
2004:Q2,177402,11708,64709,37126,27583,66775,52548,1697,12530,34210,365448,58281,126407,0,126407,138120,20513,0,117607,42640,43883,0,40825,98,2960
2004:Q3,200862,9823,73900,40787,33113,80549,66208,1607,12734,36590,394966,62046,144705,0,144705,142830,21266,0,121564,45385,60391,0,57114,95,3182
2004:Q4,251645,12222,80667,44675,35992,118406,103144,1639,13623,40350,461166,70300,183845,0,183845,156266,24909,0,131357,50755,89949,0,86801,79,3069
2005:Q1,265254,13320,82618,44153,38465,126083,110151,1682,14250,43233,478503,72024,195883,0,195883,163312,26881,0,136431,47284,98557,0,94836,174,3547
2005:Q2,287050,14373,88547,44523,44024,138121,121044,1636,15441,46009,508481,75141,212282,0,212282,170858,28286,0,142572,50200,105562,0,102053,136,3373
2005:Q3,304284,15625,92659,43003,49656,147766,130568,1810,15388,48234,530051,80612,219507,0,219507,177721,31373,0,146348,52211,109906,0,105098,134,4674
2005:Q4,305834,13583,93604,40628,52976,146719,127942,1941,16836,51928,534236,83486,216679,0,216679,178803,33336,0,145467,55268,107251,0,102453,143,4655
2006:Q1,317522,14803,95408,40308,55100,156493,135589,2317,18587,50818,549050,84559,227550,0,227550,184105,34494,0,149611,52836,112654,0,107068,247,5339
2006:Q2,333685,13897,106659,47939,58720,158840,137683,2234,18923,54289,568748,93613,230081,0,230081,189410,35881,0,153529,55644,113111,0,106984,245,5882
2006:Q3,345353,16192,115037,55080,59957,159200,134163,2611,22426,54924,583068,98359,233616,0,233616,192267,37390,0,154877,58826,112922,0,105564,230,7128
2006:Q4,344549,18448,130024,65412,64612,136338,104165,5026,27147,59739,571847,97890,230581,0,230581,180406,28356,0,152050,62970,110005,0,92650,393,16962
2007:Q1,365660,21621,140546,76819,63727,148698,110502,5646,32550,54795,591656,104036,246113,0,246113,183043,35019,0,148024,58464,115308,0,97401,388,17519
2007:Q2,357372,18626,141794,76204,65590,139491,99561,5847,34083,57461,590811,106330,242353,0,242353,184782,33558,0,151224,57346,110934,0,90816,386,19732
2007:Q3,324795,18511,117270,78682,38588,132127,90403,5425,36299,56887,570938,85612,237637,0,237637,185396,30977,0,154419,62293,101194,0,79815,385,20994
2007:Q4,318489,16635,123340,88910,34430,123134,80668,5206,37260,55380,580516,91702,231327,0,231327,189885,33157,0,156728,67602,92123,0,72410,390,19323
2008:Q1,301346,19419,115751,92323,23428,108948,66163,5193,37592,57228,559618,89859,207735,0,207735,196028,34194,0,161834,65996,72197,0,56542,385,15270
2008:Q2,302064,17976,120899,99331,21568,103469,60576,5072,37821,59720,553875,91623,206822,0,206822,190709,29526,0,161183,64721,66666,0,50862,389,15415
2008:Q3,294864,22158,113241,93175,20066,98163,55446,4409,38308,61302,546689,89575,194816,0,194816,195091,32435,0,162656,67207,59430,0,44498,383,14549
2008:Q4,250553,18429,101293,89631,11662,76261,34269,4302,37690,54570,511623,79364,171032,0,171032,196349,32842,0,163507,64878,45411,0,31788,389,13234
2009:Q1,241714,19658,105379,93160,12219,54747,8473,4132,42142,61930,496260,79258,151947,0,151947,199496,30072,0,169424,65559,23948,0,7230,380,16338
2009:Q2,252672,24707,115253,101369,13884,52722,9407,3713,39602,59990,490888,81975,148694,0,148694,198184,23445,0,174739,62035,24153,0,7934,375,15844
2009:Q3,260279,31123,121323,105747,15576,48062,9120,2357,36585,59771,489014,89127,144520,0,144520,195470,20621,0,174849,59897,20853,0,7740,371,12742
2009:Q4,262832,30853,121197,105193,16004,45988,8909,2260,34819,64794,489902,90480,144389,0,144389,195439,20175,0,175264,59594,18632,0,6092,370,12170
2010:Q1,272541,27760,127493,109109,18384,51485,11048,2146,38291,65803,497641,88913,153289,0,153289,192491,18732,0,173759,62948,20736,0,7420,382,12934
2010:Q2,270303,26414,133839,114617,19222,46022,8942,2139,34941,64028,490909,94388,146903,0,146903,189584,16794,0,172790,60034,19724,0,7412,372,11940
2010:Q3,288273,25180,149556,128694,20862,44798,8807,2026,33965,68739,514882,102040,148914,0,148914,193829,17320,0,176509,70099,19237,0,7187,360,11690
2010:Q4,302395,25121,166571,143393,23178,44567,8957,1950,33660,66136,523949,120385,145389,0,145389,194495,18404,0,176091,63680,18127,0,7185,359,10583
2011:Q1,380306,31308,216511,190707,25804,56577,20357,1795,34425,75910,580189,160811,152863,0,152863,198153,16516,0,181637,68362,15019,0,6070,356,8593
2011:Q2,406817,24612,244334,216949,27385,58680,19675,1790,37215,79191,613729,187103,152791,0,152791,203480,16272,0,187208,70355,14458,0,5936,348,8174
2011:Q3,432690,28744,267335,239200,28135,56614,19731,1758,35125,79997,645772,210856,151539,0,151539,209847,21655,0,188192,73530,14555,0,6380,338,7837
2011:Q4,433438,27622,275086,248077,27009,56075,19756,1726,34593,74655,654408,218106,152939,0,152939,212550,23005,0,189545,70813,14335,0,6454,334,7547
2012:Q1,502475,32746,333198,302894,30304,55535,21258,1699,32578,80996,719806,261577,162043,0,162043,209981,19273,0,190708,86205,15176,0,7115,322,7739
2012:Q2,526140,31761,352793,320611,32182,58329,24284,1743,32302,83257,743942,281849,168067,0,168067,211312,20845,0,190467,82714,17596,0,9526,302,7768
2012:Q3,600424,35992,413087,377817,35270,60046,24399,1745,33902,91299,811959,321850,172141,0,172141,212818,19635,100,193083,105150,17185,0,9421,308,7456
2012:Q4,594242,35293,394088,357557,36531,64456,26453,1869,36134,100405,817803,320553,179369,0,179369,221622,26973,262,194387,96259,15637,0,10167,299,5171
2013:Q1,595462,40857,385660,345873,39787,63055,26617,2137,34301,105890,814359,322011,181928,0,181928,221061,21099,423,199539,89359,15955,0,10589,336,5030
2013:Q2,725510,38124,367480,332579,34901,207541,29213,3811,174517,112365,957243,309701,317790,0,317790,238137,23149,498,214490,91615,150848,0,18380,2777,129691
2013:Q3,692992,40177,346750,311599,35151,207913,29468,3783,174662,98152,924136,288443,327413,0,327413,232567,27991,608,203968,75713,152130,0,19403,2778,129949
2013:Q4,662550,34268,304365,269266,35099,214736,31303,4140,179293,109181,926239,255510,355463,0,355463,241122,25882,989,214251,74144,160140,0,19864,2953,137323
2014:Q1,685741,33329,294524,259983,34541,237281,32865,4161,200255,120607,953622,243382,385353,0,385353,245789,27296,1397,217096,79098,179614,0,19391,3240,156983
2014:Q2,707261,37995,304483,271007,33476,237041,35162,4068,197811,127742,979061,252803,396620,0,396620,247064,25298,3033,218733,82574,174030,0,19156,3212,151662
2014:Q3,707178,38143,299077,265985,33092,241139,41430,4519,195190,128819,990878,252401,401322,0,401322,254495,28982,4245,221268,82660,172919,0,22036,3168,147715
2014:Q4,724693,38543,312017,277790,34227,247269,43980,5107,198182,126864,1021473,265501,403271,0,403271,270355,33076,5857,231422,82346,172548,0,23082,3294,146172
2015:Q1,721114,38592,308342,269420,38922,240705,42981,4667,193057,133475,1026841,262256,403532,0,403532,279744,36982,7248,235514,81309,166581,0,23792,2776,140013
2015:Q2,702004,34688,287737,248420,39317,241703,49249,4594,187860,137876,1024458,249027,401308,0,401308,291230,42709,9682,238839,82893,154432,0,26553,2721,125158
2015:Q3,690820,38839,280373,241091,39282,230382,48058,4903,177421,141226,1026291,229063,398280,0,398280,305668,44346,18895,242427,93280,150271,0,32384,3100,114787
2015:Q4,658762,35665,267310,228146,39164,217721,46106,4830,166785,138066,995492,219961,395508,0,395508,299602,40390,23776,235436,80421,142973,0,33059,3102,106812
2016:Q1,678914,37502,266208,227345,38863,227692,49034,4850,173808,147512,1022394,219750,416218,0,416218,299503,38662,19721,241120,86923,151818,0,32988,2872,115958
2016:Q2,673145,40684,253198,213151,40047,225177,51167,4089,169921,154086,1017123,205124,420184,0,420184,292557,35861,19094,237602,99258,149508,0,34441,2314,112753
2016:Q3,691862,40106,251506,211474,40032,243207,62103,4376,176728,157043,1011367,207611,420772,0,420772,285696,36064,17401,232231,97288,144936,0,34916,2433,107587
2016:Q4,675357,37672,240891,200704,40187,227763,60327,4642,162794,169031,1007688,209403,417332,0,417332,284262,31164,16629,236469,96691,134233,0,35818,2338,96077
2017:Q1,682611,42607,250095,208627,41468,223984,62005,4933,157046,165925,1014504,215457,422241,0,422241,282520,32449,12286,237785,94286,124555,0,33283,2726,88546
2017:Q2,688386,40013,255476,214029,41447,223346,63986,5383,153977,169551,1026442,218920,421275,0,421275,284348,33913,11878,238557,101899,117571,0,34207,2977,80387
2017:Q3,730416,47117,282788,240995,41793,222940,63795,6214,152931,177571,1062407,243776,424459,0,424459,281295,33229,10701,237365,112877,112896,0,32783,3244,76869
2017:Q4,753661,40764,297558,255257,42301,234824,65093,6264,163467,180515,1092950,264286,438979,0,438979,288164,36297,9823,242044,101521,110605,0,29911,3158,77536
2018:Q1,755284,36275,293130,247626,45504,232877,61761,5975,165141,193002,1096854,264571,440712,0,440712,284666,36647,9451,238568,106905,112660,0,30127,3122,79411
2018:Q2,751758,34865,290785,243148,47637,231292,61939,7051,162302,194816,1094703,262081,439203,0,439203,279167,32925,9373,236869,114252,108628,0,29636,3907,75085
2018:Q3,791753,39247,311913,259493,52420,237453,64494,7485,165474,203140,1135526,291551,448106,0,448106,274075,35334,9315,229426,121794,110705,0,31749,4089,74867
2018:Q4,820772,35997,324492,273683,50809,254977,72775,7683,174519,205306,1170427,307559,470028,0,470028,275222,39605,9389,226228,117618,122766,0,35095,4805,82866
2019:Q1,860538,35100,354972,305737,49235,264793,73382,10886,180525,205673,1237635,338345,482933,0,482933,266732,36806,9395,220531,149625,130239,0,35046,7586,87607
2019:Q2,884682,40685,377655,328118,49537,276042,79274,11220,185548,190300,1271045,368620,502460,0,502460,261873,33663,8480,219730,138092,134051,0,36438,7519,90094
2019:Q3,904805,48049,384297,335382,48915,285590,83644,12468,189478,186869,1299387,372825,521353,0,521353,259993,31354,8365,220274,145216,138204,0,38677,8306,91221
2019:Q4,898096,44941,386680,334498,52182,273864,76045,15048,182771,192611,1329516,379346,539315,0,539315,263211,30377,8522,224312,147644,151975,0,44647,9770,97558
2020:Q1,779955,85001,246325,210521,35804,250792,53861,9171,187760,197837,1235292,259783,529871,0,529871,299215,69505,4631,225079,146423,131935,0,26812,4395,100728
2020:Q2,758360,79460,241769,209937,31832,247914,48784,8970,190160,189217,1210459,229773,565366,0,565366,266485,40995,1711,223779,148835,137857,0,27003,4623,106231
2020:Q3,751497,68008,234814,206645,28169,260052,53336,9955,196761,188623,1204125,220254,572850,0,572850,254695,28564,327,225804,156326,141419,0,28265,5497,107657
2020:Q4,757159,62074,236821,208581,28240,259210,52230,10985,195995,199054,1219184,221712,579882,0,579882,256819,30075,289,226455,160771,141216,0,28287,5479,107450
2021:Q1,765897,61201,223752,197508,26244,265755,55028,12037,198690,215189,1221540,218350,586341,0,586341,251506,30369,289,220848,165343,137988,0,26255,5571,106162
2021:Q2,779176,62827,216572,187618,28954,281737,60926,13714,207097,218040,1236727,210767,611247,0,611247,248460,28992,288,219180,166253,148574,0,28250,6857,113467
2021:Q3,780449,64038,197662,166649,31013,302288,72905,14953,214430,216461,1216720,205342,614424,0,614424,234811,24212,263,210336,162143,150709,0,29546,7447,113716
2021:Q4,796955,60302,192665,162585,30080,313981,74926,16599,222456,230007,1242305,204790,633234,0,633234,236383,30449,263,205671,167898,155688,0,32405,8162,115121
