date,Federal government; Treasury securities; liability,Federal government; marketable Treasury securities; liability,Federal government; Treasury bills; liability,Federal government; other marketable Treasury securities; liability,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,Federal government; nonmarketable Treasury securities; liability,Federal government; U.S. savings securities; liability,State and local governments; State and local government series securities (SLGS); asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset,Federal government; other nonmarketable Treasury securities; liability,All sectors; Treasury securities; asset,Households and nonprofit organizations; Treasury securities; asset,Federal government; U.S. savings securities; liability,Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset,Nonfinancial corporate business; Treasury securities; asset,Nonfinancial noncorporate business; total U.S. government securities; asset,State and local governments; Treasury securities, including SLGS; asset,State and local governments; State and local government series securities (SLGS); asset,State and local governments; Treasury securities, excluding SLGS; asset,Monetary authority; total Treasury securities; asset,Monetary authority; Treasury bills; asset,Monetary authority; other Treasury securities, excluding Treasury bills; asset,U.S.-chartered depository institutions; Treasury securities; asset,Foreign banking offices in the U.S.; Treasury securities; asset,Banks in U.S.-affiliated areas; Treasury securities; asset,Credit unions; Treasury securities; asset,Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset,Life insurance companies; Treasury securities; asset,Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset,Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset,Private pension funds; Treasury securities; asset,Private defined benefit pension funds; Treasury securities; asset,Private defined contribution pension funds; Treasury securities; asset,Federal government retirement funds; Treasury securities; asset,Federal government defined benefit retirement funds; Treasury securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,Money market funds; Treasury securities; asset,Money market funds; Treasury bills; asset,Money market funds; Other Treasury securities, excluding Treasury bills; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; Treasury bills; asset,Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset,Closed-end funds; Treasury securities; asset,Exchange-traded funds; Treasury securities; asset,Government-sponsored enterprises; Treasury securities; asset,Issuers of asset-backed securities; Treasury securities; asset,Security brokers and dealers; Treasury securities (net); asset,Holding companies; Treasury securities; asset,Other financial business; Treasury securities; asset,Rest of the world; Treasury securities; asset,Rest of the world; Treasury bills and certificates; asset,Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset,Instrument discrepancies; Treasury securities (level)
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,219097,166341,38749,127592,0,52756,47837,0,0,4919,0,0,219097,65817,47837,17980,12853,0,6277,0,6277,23333,11565,11768,75561,191,365,75,4413,0,4413,16812,0,16812,2200,1650,550,4919,4919,0,2073,0,0,0,65,0,65,70,0,453,0,820,0,0,2800,0,2800,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,222625,167366,41955,125411,0,55259,49300,0,0,5959,0,0,222625,67256,49300,17956,14697,0,6343,0,6343,18885,11104,7781,79894,265,321,82,4826,0,4826,15298,0,15298,2300,1725,575,5959,5959,0,2257,0,0,0,104,0,104,85,0,450,0,703,0,0,2900,0,2900,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,222852,166557,19000,147557,0,56295,49552,0,0,6743,0,0,222852,66500,49552,16948,17870,0,6852,0,6852,20725,3578,17147,74381,327,294,90,5253,0,5253,13486,0,13486,2345,1759,586,6743,6743,0,2498,0,0,0,129,0,129,100,0,373,0,586,0,0,4300,0,4300,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,223261,166727,47180,119547,0,56534,49081,0,0,7453,0,0,223261,65426,49081,16345,18653,0,7332,0,7332,23604,13193,10411,72967,402,252,100,5417,0,5417,11034,0,11034,2445,1834,611,7453,7453,0,2918,0,0,0,129,0,129,110,0,428,0,313,0,0,4278,0,4278,0
1952:Q1,221993,165360,45942,119418,0,56633,49081,0,0,7552,0,0,221993,66245,49081,17164,17862,0,7680,0,7680,22228,11810,10418,72627,433,252,102,5445,0,5445,10818,0,10818,2487,1865,622,7552,7552,0,3070,0,0,0,137,0,137,113,0,565,0,191,0,0,4186,0,4186,0
1952:Q2,221979,165031,45642,119389,0,56948,49010,0,0,7938,0,0,221979,65904,49010,16894,16635,0,8140,0,8140,22506,12202,10304,72503,471,259,103,5348,0,5348,10363,0,10363,2483,1862,621,7938,7938,0,3148,0,0,0,141,0,141,117,0,496,0,1121,0,0,4303,0,4303,0
1952:Q3,225252,167863,44970,122893,0,57389,49026,0,0,8363,0,0,225252,67045,49026,18019,17018,0,8218,0,8218,23215,12889,10326,73072,425,267,104,5693,0,5693,10455,0,10455,2468,1851,617,8363,8363,0,3313,0,0,0,144,0,144,121,0,483,0,180,0,0,4668,0,4668,0
1952:Q4,229203,171619,38425,133194,0,57584,49173,0,0,8411,0,0,229203,67389,49173,18216,17647,0,8538,0,8538,24034,5738,18296,74556,445,271,106,5774,0,5774,10252,0,10252,2479,1859,620,8411,8411,0,3374,0,0,0,130,0,130,125,0,495,0,709,0,0,4468,0,4468,0
1953:Q1,226183,168191,35170,133021,0,57992,49521,0,0,8471,0,0,226183,66956,49521,17435,18164,0,8826,0,8826,23269,5511,17758,71948,415,271,107,5877,0,5877,10120,0,10120,2513,1885,628,8471,8471,0,3465,0,0,0,140,0,140,129,0,695,0,208,0,0,4609,0,4609,0
1953:Q2,226643,168581,35561,133020,0,58062,49258,0,0,8804,0,0,226643,69312,49258,20054,16454,0,8988,0,8988,24146,6423,17723,70135,423,269,108,5884,0,5884,10090,0,10090,2567,1925,642,8804,8804,0,3655,0,0,0,134,0,134,132,0,574,0,145,0,0,4823,0,4823,0
1953:Q3,233183,175018,45877,129141,0,58165,49263,0,0,8902,0,0,233183,69128,49263,19865,18232,0,9114,0,9114,24635,7795,16840,73636,416,266,109,5957,0,5957,9987,0,9987,2620,1965,655,8902,8902,0,3830,0,0,0,141,0,141,136,0,592,0,426,0,0,5056,0,5056,0
1953:Q4,235126,176814,45897,130917,0,58312,49371,0,0,8941,0,0,235126,68038,49371,18667,19240,0,9342,0,9342,25317,8413,16904,74555,435,263,112,6025,0,6025,9829,0,9829,2636,1977,659,8941,8941,0,3860,0,0,0,129,0,129,140,0,589,0,640,0,0,5035,0,5035,0
1954:Q1,230582,172200,40390,131810,0,58382,49421,0,0,8961,0,0,230582,68196,49421,18775,17887,0,9402,0,9402,24232,7962,16270,71759,423,265,114,5986,0,5986,9720,0,9720,2652,1989,663,8961,8961,0,4043,0,0,0,148,0,148,144,0,901,0,443,0,0,5306,0,5306,0
1954:Q2,230733,171915,37920,133995,0,58818,49545,0,0,9273,0,0,230733,67555,49545,18010,14874,0,9466,0,9466,24737,8916,15821,74515,440,270,116,5993,0,5993,9399,0,9399,2644,1983,661,9273,9273,0,4234,0,0,0,137,0,137,147,0,872,0,869,0,0,5192,0,5192,0
1954:Q3,234029,175045,37694,137351,0,58984,49703,0,0,9281,0,0,234029,66201,49703,16498,16366,0,9638,0,9638,23946,8149,15797,78202,449,275,118,6057,0,6057,9138,0,9138,2647,1985,662,9281,9281,0,4310,0,0,0,143,0,143,151,0,896,0,674,0,0,5537,0,5537,0
1954:Q4,237857,178532,47964,130568,0,59325,49966,0,0,9359,0,0,237857,66087,49966,16121,17523,0,9789,0,9789,24888,16049,8839,79769,490,277,120,6137,0,6137,9070,0,9070,2675,2006,669,9359,9359,0,4383,0,0,0,154,0,154,155,0,849,0,666,0,0,5466,0,5466,0
1955:Q1,233485,173973,37227,136746,0,59512,50165,0,0,9347,0,0,233485,67640,50165,17475,17543,0,9978,0,9978,23505,10843,12662,75199,456,275,123,6022,0,6022,9136,0,9136,2735,2051,684,9347,9347,0,4438,0,0,0,152,0,152,160,0,982,0,322,0,0,5472,0,5472,0
1955:Q2,232883,172997,33350,139647,0,59886,50184,0,0,9702,0,0,232883,68240,50184,18056,16788,0,10248,0,10248,23407,9106,14301,74261,475,269,127,5964,0,5964,9086,0,9086,2839,2129,710,9702,9702,0,4478,0,0,0,179,0,179,165,0,869,0,228,0,0,5558,0,5558,0
1955:Q3,235344,175191,29857,145334,0,60153,50178,0,0,9975,0,0,235344,69181,50178,19003,18619,0,10550,0,10550,23402,3527,19875,73047,461,263,131,6045,0,6045,9164,0,9164,2936,2202,734,9975,9975,0,4566,0,0,0,233,0,233,170,0,637,0,218,0,0,5746,0,5746,0
1955:Q4,238466,178189,38054,140135,0,60277,50229,0,0,10048,0,0,238466,68843,50229,18614,21281,0,10936,0,10936,24391,7424,16967,72461,465,259,135,6000,0,6000,8576,0,8576,2972,2229,743,10048,10048,0,4666,0,0,0,255,0,255,175,0,936,0,264,0,0,5803,0,5803,0
1956:Q1,234182,173724,41572,132152,0,60458,50397,0,0,10061,0,0,234182,70474,50397,20077,18878,0,11198,0,11198,23303,11632,11671,69703,453,260,139,5834,0,5834,8077,0,8077,2949,2212,737,10061,10061,0,4879,0,0,0,238,0,238,180,0,1256,0,111,0,0,6189,0,6189,0
1956:Q2,229199,168502,37111,131391,0,60697,50320,0,0,10377,0,0,229199,70183,50320,19863,15667,0,11531,0,11531,23457,11757,11700,67621,481,265,143,5683,0,5683,7954,0,7954,2895,2171,724,10377,10377,0,4903,0,0,0,221,0,221,185,0,1267,0,122,0,0,6244,0,6244,0
1956:Q3,230632,169476,40330,129146,0,61156,50238,0,0,10918,0,0,230632,70632,50238,20394,15575,0,11779,0,11779,23293,11634,11659,67949,508,270,147,5655,0,5655,7834,0,7834,2817,2113,704,10918,10918,0,4929,0,0,0,265,0,265,190,0,1257,0,114,0,0,6500,0,6500,0
1956:Q4,233683,172637,44202,128435,0,61046,50135,0,0,10911,0,0,233683,70225,50135,20090,16718,0,11988,0,11988,24610,12654,11956,69353,518,274,150,5657,0,5657,7555,0,7555,2751,2063,688,10911,10911,0,4944,0,0,0,276,0,276,195,0,1226,0,243,0,0,6089,0,6089,0
1957:Q1,232013,171487,44695,126792,0,60526,49552,0,0,10924,0,50,232013,70878,49552,21326,16166,0,12017,0,12017,22666,11667,10999,69737,484,277,154,5530,0,5530,7478,0,7478,2677,2008,669,10924,10924,0,5061,0,0,0,280,0,280,201,0,1342,0,113,0,0,6028,0,6028,0
1957:Q2,226421,166057,43893,122164,0,60364,49090,0,0,11224,0,50,226421,70743,49090,21653,14227,0,12006,0,12006,22635,11621,11014,66360,501,279,158,5423,0,5423,7348,0,7348,2604,1953,651,11224,11224,0,5114,0,0,0,292,0,292,207,0,1269,0,87,0,0,5944,0,5944,0
1957:Q3,230591,170669,61668,109001,0,59922,48602,0,0,11270,0,50,230591,71650,48602,23048,14773,0,11867,0,11867,22752,20511,2241,69467,489,281,162,5437,0,5437,7289,0,7289,2535,1901,634,11270,11270,0,5147,0,0,0,291,0,291,213,0,1137,0,223,0,0,5608,0,5608,0
1957:Q4,231465,171843,61411,110432,0,59622,48226,0,0,11346,0,50,231465,71507,48226,23281,15589,0,11660,0,11660,23719,20918,2801,68661,487,284,165,5480,0,5480,7029,0,7029,2461,1846,615,11346,11346,0,5058,0,0,0,277,0,277,220,0,1143,0,449,0,0,5930,0,5930,0
1958:Q1,229917,170060,54500,115560,0,59857,48146,0,0,11511,0,200,229917,70949,48146,22803,14394,0,11326,0,11326,23125,20839,2286,69928,473,289,169,5248,0,5248,7087,0,7087,2411,1808,603,11511,11511,0,5104,0,0,0,314,0,314,227,0,1742,0,332,0,0,5288,0,5288,0
1958:Q2,233403,173354,55326,118028,0,60049,48025,0,0,11859,0,165,233403,71186,48025,23161,12340,0,11395,0,11395,25138,22649,2489,72954,501,296,173,5160,0,5160,7075,0,7075,2432,1824,608,11859,11859,0,4950,0,0,0,401,0,401,234,0,1631,0,867,0,0,4811,0,4811,0
1958:Q3,234110,173914,61186,112728,0,60196,47861,0,0,12170,0,165,234110,68645,47861,20784,13175,0,11471,0,11471,24660,22492,2168,75134,482,302,177,5265,0,5265,7295,0,7295,2431,1823,608,12170,12170,0,4960,0,0,0,356,0,356,242,0,1497,0,199,0,0,5649,0,5649,0
1958:Q4,241244,181096,66112,114984,0,60148,47703,0,0,12280,0,165,241244,68638,47703,20935,16092,0,11627,0,11627,26252,20900,5352,76727,510,303,180,5439,0,5439,7183,0,7183,2451,1838,613,12280,12280,0,5021,0,0,0,401,0,401,249,0,1252,0,604,0,0,6035,0,6035,0
1959:Q1,241163,181118,66624,114494,0,60045,47467,0,0,12413,0,165,241163,69977,47467,22510,17280,0,11848,0,11848,25424,20146,5278,74034,513,233,183,5360,0,5360,7212,0,7212,2476,1857,619,12413,12413,0,5102,0,0,0,432,0,432,269,0,1457,0,408,0,0,6542,0,6542,0
1959:Q2,242044,182046,65860,116186,0,59998,47035,0,0,12798,0,165,242044,69458,47035,22423,18104,0,12165,0,12165,25994,20674,5320,71638,518,173,185,5356,0,5356,7228,0,7228,2523,1892,631,12798,12798,0,5126,0,0,0,432,0,432,289,0,1328,0,275,0,0,8454,0,8454,0
1959:Q3,246320,186548,57471,129077,0,59772,46486,0,0,13121,0,165,246320,70444,46486,23958,20311,0,12375,0,12375,26513,13069,13444,69983,523,87,187,5476,0,5476,7183,0,7183,2587,1940,647,13121,13121,0,5350,0,0,0,517,0,517,310,0,1317,0,401,0,0,9635,0,9635,0
1959:Q4,249384,190148,59312,130836,0,59236,45907,0,0,13164,0,165,249384,71584,45907,25677,21621,0,12842,0,12842,26606,13113,13493,69166,526,81,190,5626,0,5626,6868,0,6868,2619,1964,655,13164,13164,0,5462,0,0,0,556,0,556,333,0,1352,0,428,0,0,10360,0,10360,0
1960:Q1,245603,186451,52391,134060,0,59152,45736,0,0,13251,0,165,245603,75466,45736,29730,19986,0,13200,0,13200,25166,9770,15396,64111,523,83,192,5532,0,5532,6828,0,6828,2537,1903,634,13251,13251,0,5663,0,0,0,605,0,605,359,0,1556,0,158,0,0,10387,0,10387,0
1960:Q2,243931,184325,51065,133260,0,59606,45611,0,0,13936,0,59,243931,74183,45611,28572,18247,0,13511,0,13511,26323,10978,15345,63794,519,89,194,5437,0,5437,6574,0,6574,2457,1843,614,13936,13936,0,5724,0,0,0,615,0,615,391,0,1437,0,204,0,0,10296,0,10296,0
1960:Q3,245897,186230,61932,124298,0,59667,45579,0,0,14038,0,50,245897,73602,45579,28023,16446,0,13775,0,13775,26480,16814,9666,67184,515,96,196,5439,0,5439,6577,0,6577,2408,1806,602,14038,14038,0,5653,0,0,0,608,0,608,421,0,1450,0,580,0,0,10429,0,10429,0
1960:Q4,248132,188350,57888,130462,0,59782,45642,0,0,14090,0,50,248132,72194,45642,26552,15752,0,13739,0,13739,26984,11960,15024,70347,507,101,200,5446,0,5446,6427,0,6427,2404,1803,601,14090,14090,0,5711,0,0,0,619,0,619,445,0,1494,0,1021,0,0,10651,0,10651,0
1961:Q1,245901,185688,48014,137674,0,60213,45906,0,0,14141,0,166,245901,72095,45906,26189,15225,0,13581,0,13581,26388,7725,18663,69643,555,104,204,5239,0,5239,6543,0,6543,2407,1805,602,14141,14141,0,5855,0,0,0,539,0,539,447,0,1757,0,543,0,0,10635,0,10635,0
1961:Q2,247016,185994,50061,135933,0,61022,46045,0,0,14927,0,50,247016,70684,46045,24639,14636,0,13946,0,13946,27003,9351,17652,71610,603,106,209,5118,0,5118,6408,0,6408,2429,1822,607,14927,14927,0,5872,0,0,0,511,0,511,441,0,1708,0,517,0,0,10288,0,10288,0
1961:Q3,252416,191041,47448,143593,0,61375,46228,0,0,14996,0,151,252416,72300,46228,26072,13288,0,13790,0,13790,26881,4591,22290,75977,680,107,214,5206,0,5206,6428,0,6428,2431,1823,608,14996,14996,0,5865,0,0,0,549,0,549,432,0,1635,0,763,0,0,10874,0,10874,0
1961:Q4,255707,194206,48953,145253,0,61501,46445,0,0,15006,0,50,255707,71944,46445,25499,14096,0,14002,0,14002,28722,4863,23859,76484,536,107,220,5358,0,5358,6134,0,6134,2425,1819,606,15006,15006,0,5800,0,0,0,688,0,688,426,0,1419,0,1305,0,0,11035,0,11035,0
1962:Q1,256084,194302,56413,137889,0,61782,46602,0,0,15054,0,126,256084,73081,46602,26479,14217,0,13976,0,13976,28579,7957,20622,74946,682,109,225,5275,0,5275,6307,0,6307,2421,1816,605,15054,15054,0,6025,0,0,0,652,0,652,418,0,1952,0,1142,0,0,11023,0,11023,0
1962:Q2,256655,194009,55583,138426,0,62646,46664,0,0,15908,0,74,256655,73108,46664,26444,13061,0,14220,0,14220,29413,8446,20967,74650,827,111,229,5214,0,5214,6279,0,6279,2459,1844,615,15908,15908,0,6075,0,0,0,511,0,511,406,0,1594,0,1122,0,0,11468,0,11468,0
1962:Q3,257712,194901,60085,134816,0,62811,46817,0,0,15923,0,71,257712,74836,46817,28019,11645,0,14581,0,14581,28802,11911,16891,74555,693,114,234,5276,0,5276,6331,0,6331,2524,1893,631,15923,15923,0,6125,0,0,0,789,0,789,398,0,1622,0,1146,0,0,12118,0,12118,0
1962:Q4,262772,199754,70960,128794,0,63018,46968,0,0,15999,0,51,262772,73718,46968,26750,12307,0,15157,0,15157,30478,15624,14854,76653,506,119,240,5439,0,5439,6170,0,6170,2600,1950,650,15999,15999,0,6100,0,0,0,737,0,737,402,0,1792,0,1976,0,0,12379,0,12379,0
